Election Year,Position,Name,Votes,Votes %,Party,AC name,AC No
2015,20,Alok Kumar,200,0.10%,Bharti Samudaya Party,Muzaffarpur,94
2015,1,Ashok Kumar Choudhary (SADATPUR),58111,32.40%,Independent,Kanti,95
2015,2,Ajit Kumar,48836,27.20%,Hindustani Awam Morcha (Secular),Kanti,95
2015,3,Md. Parwez Alam,47050,26.20%,Rashtriya Janata Dal,Kanti,95
2015,4,Umesh Paswan,3109,1.70%,Independent,Kanti,95
2015,5,Ashok Kumar Chodhary (DHAMAULI RAMNATH),2144,1.20%,Independent,Kanti,95
2015,6,Md. Inamul Haque,2031,1.10%,Bahujan Samaj Party,Kanti,95
2015,7,Amar Deo Singh,1948,1.10%,Independent,Kanti,95
2015,8,Lal Babu Roy,1850,1.00%,Socialist Unity Centre Of India (COMMUNIST),Kanti,95
2015,9,Arjun Prasad Gupta,1832,1.00%,Independent,Kanti,95
2015,10,Ajit Kumar,1797,1.00%,Independent,Kanti,95
2015,11,Md Naushad,1372,0.80%,Akhil Bharatiya Hind Kranti Party,Kanti,95
2015,12,Abhay Shankar Thakur,1238,0.70%,Garib Janta Dal (Secular),Kanti,95
2015,13,Anil Kumar Ray,1207,0.70%,Jan Adhikar Party (Loktantrik),Kanti,95
2015,14,Mahmad Jafaruddin,1112,0.60%,Independent,Kanti,95
2015,15,Md. Haseeb,849,0.50%,Rashtriya Samanta Dal,Kanti,95
2015,16,Chandan Kumar Suman,842,0.50%,National Janta Party (Indian),Kanti,95
2015,17,Sanjeev Kumar Jha,734,0.40%,Independent,Kanti,95
2015,18,Laddu Sahani,514,0.30%,Bahujan Mukti Party,Kanti,95
2015,19,Ravindra Shekhar,514,0.30%,Sarvajan Kalyan Loktantrik Party,Kanti,95
2015,20,Kumar Nath Singh,466,0.30%,Bajjikanchal Vikas Party,Kanti,95
2015,21,Laddan Khan,452,0.30%,Rashtravadi Janata Party,Kanti,95
2015,1,Nand Kumar Rai,68011,43.60%,Rashtriya Janata Dal,Barharia,110
2015,2,Arun Kumar Singh,63102,40.50%,Bharatiya Janta Party,Barharia,110
2015,3,Najmul Hoda,5658,3.60%,Bahujan Samaj Party,Barharia,110
2015,4,Vidhalal Sahni,2967,1.90%,Independent,Barharia,110
2015,5,Raghuwar Bhagat,2319,1.50%,Communist Party Of India,Barharia,110
2015,6,Hiralal Khadia,2161,1.40%,Sarvajan Kalyan Loktantrik Party,Barharia,110
2015,7,Sanjay Kumar Paswan,2099,1.40%,Independent,Barharia,110
2015,8,Ajay Kumar,827,0.50%,Samajwadi Party,Barharia,110
2015,9,Ram Ekwal Ray,799,0.50%,Garib Janta Dal (Secular),Barharia,110
2015,10,Md. Rustam Ali,706,0.50%,Akhil Bharatiya Hind Kranti Party,Barharia,110
2015,11,Abhay Kumar,582,0.40%,Bajjikanchal Vikas Party,Barharia,110
2015,12,Krishna Ray,485,0.30%,Rashtriya Samanta Dal,Barharia,110
2015,1,Ashok Kumar Singh,80445,48.20%,Bharatiya Janta Party,Paroo,97
2015,2,Shankar Prasad,66906,40.10%,Rashtriya Janata Dal,Paroo,97
2015,3,Phooldeo Sahani,2899,1.70%,Bahujan Samaj Party,Paroo,97
2015,4,Vijay Kumar,2476,1.50%,Independent,Paroo,97
2015,5,Sikendar Ram,1744,1.10%,Independent,Paroo,97
2015,6,Avinash Kunwar,1508,0.90%,Jan Adhikar Party (Loktantrik),Paroo,97
2015,7,Nanhak Sah,1132,0.70%,Socialist Unity Centre Of India (COMMUNIST),Paroo,97
2015,8,Rameshwar Sah,944,0.60%,Independent,Paroo,97
2015,9,Sanjay Kumar Singh,748,0.50%,Rashtravadi Janata Party,Paroo,97
2015,10,Prakash Kumar,650,0.40%,Samras Samaj Party,Paroo,97
2015,11,Rajesh Rai,582,0.40%,Independent,Paroo,97
2015,12,Alok Kumar,524,0.30%,Samajwadi Party,Paroo,97
2015,13,Badri Nath Bihari,472,0.30%,Independent,Paroo,97
2015,1,Ramvichar Rai,70583,43.70%,Rashtriya Janata Dal,Sahebganj,98
2015,2,Raju Kumar Singh,59923,37.10%,Bharatiya Janta Party,Sahebganj,98
2015,3,Azimullah Ansari,6716,4.20%,Independent,Sahebganj,98
2015,4,Madan Chaudhary,6674,4.10%,Independent,Sahebganj,98
2015,5,Dilip Kumar,3759,2.30%,Independent,Sahebganj,98
2015,6,Basawan Prasad Bhagat,2261,1.40%,Samajwadi Party,Sahebganj,98
2015,7,Akhileshwar Prasad Singh,2034,1.30%,Communist Party Of India (MARXIST),Sahebganj,98
2015,8,Ajay Singh,1975,1.20%,Independent,Sahebganj,98
2015,9,Krishna Kumar Jaiswal,1486,0.90%,Rashtriya Mahan Gantantra Party,Sahebganj,98
2015,10,Mohammad Nasim,1092,0.70%,Bahujan Samaj Party,Sahebganj,98
2015,11,Devesh Chandra,866,0.50%,Samajwadi Janata Dal Democratic,Sahebganj,98
2015,12,Vinay Kumar,832,0.50%,Shiv Sena,Sahebganj,98
2015,13,Nawal Kishore Singh,590,0.40%,Garib Janta Dal (Secular),Sahebganj,98
2015,14,Jai Chand Sahani,549,0.30%,Sarvajan Kalyan Loktantrik Party,Sahebganj,98
2015,15,Pramod Kumar,510,0.30%,Bhartiya Janhit Dal,Sahebganj,98
2015,1,Mithilesh Tiwari,56162,35.10%,Bharatiya Janta Party,Baikunthpur,99
2015,2,Manjeet Kumar Singh,42047,26.30%,Janata Dal (United),Baikunthpur,99
2015,3,Manorma Devi,36734,23.00%,Independent,Baikunthpur,99
2015,4,Anup Kumar Tewari,3735,2.30%,Bahujan Samaj Party,Baikunthpur,99
2015,5,Gorakh Yadav,3405,2.10%,Independent,Baikunthpur,99
2015,6,Mohan Singh,3055,1.90%,Independent,Baikunthpur,99
2015,7,Dinesh Singh,2236,1.40%,Jan Adhikar Party (Loktantrik),Baikunthpur,99
2015,8,Z Rahman,2103,1.30%,Bhartiya New Sanskar Krantikari Party,Baikunthpur,99
2015,9,Krishna Vihari Prasad Yadav,1866,1.20%,Communist Party Of India,Baikunthpur,99
2015,10,Shaukat Ali,1586,1.00%,Samajwadi Party,Baikunthpur,99
2015,11,Ranjeet Singh,937,0.60%,Jammu & Kashmir National Panthers Party,Baikunthpur,99
2015,12,Mohan Mahto,647,0.40%,Garib Janta Dal (Secular),Baikunthpur,99
2015,13,Dipak Kumar Tiwari,630,0.40%,Rajnaitik Vikalp Party,Baikunthpur,99
2015,1,Md Nematullah,61690,40.50%,Rashtriya Janata Dal,Barauli,100
2015,2,Rampravesh Rai,61186,40.10%,Bharatiya Janta Party,Barauli,100
2015,3,Anirudh Prasad Urf Sadhu Yadav,3914,2.60%,Garib Janta Dal (Secular),Barauli,100
2015,4,Mukesh Kumar Rai,3819,2.50%,Independent,Barauli,100
2015,5,Neyaz Ahmad,2887,1.90%,Bahujan Samaj Party,Barauli,100
2015,6,Rajesh Kumar Singh,2770,1.80%,Samajwadi Party,Barauli,100
2015,7,Dharmendra Kumar Gupta,2531,1.70%,Independent,Barauli,100
2015,8,Yogendra Bhagat,2464,1.60%,Independent,Barauli,100
2015,9,Manager Singh,2311,1.50%,Communist Party Of India,Barauli,100
2015,10,Dinesh Kumar,1853,1.20%,Sarvajan Kalyan Loktantrik Party,Barauli,100
2015,11,Chhote Lal Choudhary,1282,0.80%,Independent,Barauli,100
2015,12,Dudh Nath Singh,1081,0.70%,Independent,Barauli,100
2015,13,Manjur Kha,1031,0.70%,Independent,Barauli,100
2015,14,Babujan Sai,976,0.60%,Independent,Barauli,100
2015,15,Manju Kumari,606,0.40%,Bharatiya Bahujan Congress,Barauli,100
2015,16,Satyajeet Kumar Pandey,606,0.40%,Rajnaitik Vikalp Party,Barauli,100
2015,17,Nafis Haidar,515,0.30%,Janta Dal Rashtravadi,Barauli,100
2015,1,Subash Singh,78491,45.50%,Bharatiya Janta Party,Gopalganj,101
2015,2,"Reyajul Haque Alias "" Raju""",73417,42.60%,Rashtriya Janata Dal,Gopalganj,101
2015,3,Jay Hind Prasad,3565,2.10%,Bahujan Samaj Party,Gopalganj,101
2015,4,Om Prakash Singh,3240,1.90%,Independent,Gopalganj,101
2015,5,Sunil Pandey,2937,1.70%,Independent,Gopalganj,101
2015,6,Surendra Ram,2844,1.70%,Independent,Gopalganj,101
2015,7,Dr. Rajesh Kumar Vernwal,1552,0.90%,Independent,Gopalganj,101
2015,8,Chandan Singh,1255,0.70%,Rajnaitik Vikalp Party,Gopalganj,101
2015,9,Vidya Prasad Kushvaha,754,0.40%,Communist Party Of India (Marxist-Leninist) (Liberation),Gopalganj,101
2015,10,Anup Kumar Srivastava,649,0.40%,Independent,Gopalganj,101
2015,11,Mahahamd Amirullah Ansari,513,0.30%,Garib Janta Dal (Secular),Gopalganj,101
2015,12,Yogendra Prasad,501,0.30%,Bharatiya Ekta Dal,Gopalganj,101
2015,13,Sikander Azam,485,0.30%,Gareeb Aadmi Party,Gopalganj,101
2015,14,Pramod Kumar Singh,382,0.20%,Samajwadi Party,Gopalganj,101
2015,15,Motilal Gupta,330,0.20%,Socialist Party (India),Gopalganj,101
2015,1,Amrendra Kumar Pandey,72224,43.30%,Janata Dal (United),Kuchaikote,102
2015,2,Kali Prasad Pandey,68662,41.10%,Lok Jan Shakti Party,Kuchaikote,102
2015,3,Parshuram Kumar,4936,3.00%,Independent,Kuchaikote,102
2015,4,Muna Prasad,4615,2.80%,Communist Party Of India (MARXIST),Kuchaikote,102
2015,5,Om Prakash Prasad,2355,1.40%,Independent,Kuchaikote,102
2015,6,Sadman Ali,1801,1.10%,Bahujan Samaj Party,Kuchaikote,102
2015,7,Arjun Prasad Kushwaha,1550,0.90%,Garib Janta Dal (Secular),Kuchaikote,102
2015,8,Devendra Ray,1209,0.70%,Lok Awaz Dal,Kuchaikote,102
2015,9,Abhay Kumar Kushwaha,1161,0.70%,Bahujan Kranti Party (Marxwad-Ambedkarwad),Kuchaikote,102
2015,10,Engineer Prasad,867,0.50%,Samajwadi Party,Kuchaikote,102
2015,1,Anil Kumar,74365,44.30%,Indian National Congress,Bhagalpur,156
2015,2,Indradev Manjhi,59494,35.50%,Bharatiya Janta Party,Bhagalpur,156
2015,3,Jitendra Paswan,14011,8.40%,Communist Party Of India (Marxist-Leninist) (Liberation),Bhagalpur,156
2015,4,Satyajeet Kumar,3525,2.10%,Independent,Bhagalpur,156
2015,5,Rajendra Ram,1764,1.10%,Bahujan Samaj Party,Bhagalpur,156
2015,6,Sharma Devi,1477,0.90%,Bahujan Kranti Party (Marxwad-Ambedkarwad),Bhagalpur,156
2015,7,Vindhyachal Ram,1452,0.90%,Independent,Bhagalpur,156
2015,8,Lalan Manjhi,1115,0.70%,Samajwadi Party,Bhagalpur,156
2015,9,Dinanath Manjhi,1082,0.60%,Independent,Bhagalpur,156
2015,10,Digvijay Kumar,913,0.50%,Garib Janta Dal (Secular),Bhagalpur,156
2015,11,Baby Kumari,838,0.50%,Bharatiya Bahujan Congress,Bhagalpur,156
2015,12,Janki Devi,805,0.50%,Rashtriya Jan-Jagram Morcha,Bhagalpur,156
2015,1,Ramsewak Singh,57917,36.50%,Janata Dal (United),Hathua,104
2015,2,Mahachandra Pd. Singh,34933,22.00%,Hindustani Awam Morcha (Secular),Hathua,104
2015,3,Rajesh Kumar Singh Rampur Kala,32959,20.80%,Independent,Hathua,104
2015,4,Dr Shashi Bhushan Rai,4333,2.70%,Independent,Hathua,104
2015,5,Ramdarshan Prasad,4027,2.50%,Independent,Hathua,104
2015,6,Saviv Alam,3903,2.50%,Janta Dal Rashtravadi,Hathua,104
2015,7,Imteyaj Ahmad,3429,2.20%,Bahujan Samaj Party,Hathua,104
2015,8,Indra Kumar Jyotikar,3336,2.10%,Rashtriya Jan-Jagram Morcha,Hathua,104
2015,9,Rajesh Kumar Singh Belwa Thakurai,2176,1.40%,Independent,Hathua,104
2015,10,Ramaji Sah,2138,1.40%,Garib Janta Dal (Secular),Hathua,104
2015,11,Sriram Sharma,2066,1.30%,Communist Party Of India (Marxist-Leninist) (Liberation),Hathua,104
2015,12,Farookh Khan,1501,1.00%,Bhartiya New Sanskar Krantikari Party,Hathua,104
2015,13,Ram Naresh Pandit,1154,0.70%,Loktantrik Sarvjan Samaj Party,Hathua,104
2015,14,Sanjay Kumar Maurya,1150,0.70%,Bhartiya Janhit Dal,Hathua,104
2015,15,Malay Kun Mishra,850,0.50%,Bharatiya Ekta Dal,Hathua,104
2015,1,Vyas Deo Prasad,55156,35.00%,Bharatiya Janta Party,Siwan,105
2015,2,Bablu Prasad,51622,32.80%,Janata Dal (United),Siwan,105
2015,3,Avadh Vihari Choudhari,28450,18.10%,Independent,Siwan,105
2015,4,Harendra Dubey,4254,2.70%,Independent,Siwan,105
2015,5,Vinod Kumar Srivastav,4102,2.60%,Shiv Sena,Siwan,105
2015,6,Jamil Ahmad,1997,1.30%,Communist Party Of India (Marxist-Leninist) (Liberation),Siwan,105
2015,7,Birendra Sah,1542,1.00%,Independent,Siwan,105
2015,8,Kaushal Kishore Yadav,1458,0.90%,Independent,Siwan,105
2015,9,Suman Kumar,911,0.60%,Samajwadi Party,Siwan,105
2015,10,Ravindar Kumar Prasad,770,0.50%,Independent,Siwan,105
2015,11,Dewakant Mishra,572,0.40%,Independent,Siwan,105
2015,12,Binod Singh Kuswaha,559,0.40%,Garib Janta Dal (Secular),Siwan,105
2015,13,Nagendra Tiwari,494,0.30%,Loktantrik Janata Party (Secular),Siwan,105
2015,14,Md. Moin,483,0.30%,Independent,Siwan,105
2015,1,Ramesh Singh Kushwaha,40760,30.00%,Janata Dal (United),Ziradei,106
2015,2,Asha Devi,34669,25.50%,Bharatiya Janta Party,Ziradei,106
2015,3,Amarjeet Kushwaha,34562,25.40%,Communist Party Of India (Marxist-Leninist) (Liberation),Ziradei,106
2015,4,Shri Niwas Yadav,4478,3.30%,Independent,Ziradei,106
2015,5,Brij Bihari Sharma,3220,2.40%,Independent,Ziradei,106
2015,6,Rana Pratap Singh,3162,2.30%,Samajwadi Party,Ziradei,106
2015,7,Sudhir Kumar Sinha,3104,2.30%,Independent,Ziradei,106
2015,8,Vijay Pratap Shahi,2614,1.90%,Independent,Ziradei,106
2015,9,Ravi Pandey,2305,1.70%,National People's Party,Ziradei,106
2015,10,Udeshavar Kumar Singh,1731,1.30%,Shiv Sena,Ziradei,106
2015,11,Rakesh Kumar Pandey,786,0.60%,Independent,Ziradei,106
2015,12,Mahatma Singh,728,0.50%,Independent,Ziradei,106
2015,13,Dharmchand Yadav,565,0.40%,Independent,Ziradei,106
2015,14,Daroga Singh,448,0.30%,Jharkhand Mukti Morcha,Ziradei,106
2015,15,Ramjee Bhai,374,0.30%,Rashtriya Samanta Dal,Ziradei,106
2015,16,Parmanand Gond,300,0.20%,Swatantra Samaj Party,Ziradei,106
2015,1,Satyadeo Ram,49576,33.60%,Communist Party Of India (Marxist-Leninist) (Liberation),Darauli,107
2015,2,Ramayan Manjhi,39992,27.10%,Bharatiya Janta Party,Darauli,107
2015,3,Parmatma Ram,37345,25.30%,Rashtriya Janata Dal,Darauli,107
2015,4,Chandrama Prasad,8760,5.90%,Independent,Darauli,107
2015,5,Mira Devi,2593,1.80%,Independent,Darauli,107
2015,6,Bimalesh Kumar Ram,1697,1.20%,Bahujan Samaj Party,Darauli,107
2015,7,Manoj Ram,1617,1.10%,Jammu & Kashmir National Panthers Party,Darauli,107
2015,8,Ram Ek Bal Baitha,1564,1.10%,Swatantra Samaj Party,Darauli,107
2015,1,Harishankar Yadav,61042,42.00%,Rashtriya Janata Dal,Raghunathpur,108
2015,2,Manoj Kumar Singh,50420,34.70%,Bharatiya Janta Party,Raghunathpur,108
2015,3,Amarnath Yadav,16714,11.50%,Communist Party Of India (Marxist-Leninist) (Liberation),Raghunathpur,108
2015,4,Rajesh Kumar Tiwari,2744,1.90%,Independent,Raghunathpur,108
2015,5,Vishwakarma Bhagat,2191,1.50%,Independent,Raghunathpur,108
2015,6,Parwar Alam,1881,1.30%,Bahujan Samaj Party,Raghunathpur,108
2015,7,Prem Sagar Pandey,1799,1.20%,Independent,Raghunathpur,108
2015,8,Md. Chand,1656,1.10%,Samajwadi Party,Raghunathpur,108
2015,9,Arif Jamal,820,0.60%,National Janta Party (Indian),Raghunathpur,108
2015,10,Pawan Singh,743,0.50%,Independent,Raghunathpur,108
2015,11,Mahesh Singh,723,0.50%,Hind Congress Party,Raghunathpur,108
2015,12,Aon Ali,453,0.30%,Garib Janta Dal (Secular),Raghunathpur,108
2015,1,Kavita Singh,66255,43.70%,Janata Dal (United),Daraundha,109
2015,2,Jitendra Swami,53033,35.00%,Bharatiya Janta Party,Daraundha,109
2015,3,Shailendra Kumar Yadav,6712,4.40%,Independent,Daraundha,109
2015,4,Ganesh Ram,4001,2.60%,Bahujan Samaj Party,Daraundha,109
2015,5,Deepak Kumar Mishra,2958,2.00%,Independent,Daraundha,109
2015,6,Jayshankar Pandit,2681,1.80%,Communist Party Of India (Marxist-Leninist) (Liberation),Daraundha,109
2015,7,Kavita Devi (PAKWALIYA),1536,1.00%,Independent,Daraundha,109
2015,8,Jay Prakash Yadav,1484,1.00%,Independent,Daraundha,109
2015,9,Ashwatthama Yadav,1117,0.70%,Garib Janta Dal (Secular),Daraundha,109
2015,10,Kavita Devi (SAWAN BIGRAH),822,0.50%,Independent,Daraundha,109
2015,11,Shailendr Kumar Tiwari,575,0.40%,Jharkhand Mukti Morcha,Daraundha,109
2015,12,Sanjiv Kumar,573,0.40%,Bhartiya New Sanskar Krantikari Party,Daraundha,109
2015,13,Kalawati Devi,546,0.40%,Shiv Sena,Daraundha,109
2015,14,Syed Iqbal Hussain,446,0.30%,Rashtriya Samanta Dal,Daraundha,109
2015,1,Shyam Bahadur Singh,65168,41.90%,Janata Dal (United),Barhara,193
2015,2,Bachha Panday,50585,32.60%,Lok Jan Shakti Party,Barhara,193
2015,3,Mantu Kumar,7258,4.70%,Independent,Barhara,193
2015,4,Mahadeo Paswan,6022,3.90%,Independent,Barhara,193
2015,5,Lalasa Devi,5340,3.40%,Independent,Barhara,193
2015,6,Irfan Ahmed,3107,2.00%,Communist Party Of India,Barhara,193
2015,7,Dhananjay Kumar Singh,2481,1.60%,Bahujan Samaj Party,Barhara,193
2015,8,Dhananjay Pandey,2351,1.50%,Independent,Barhara,193
2015,9,Niraj Kr. Tiwari,2060,1.30%,Independent,Barhara,193
2015,10,Rijwan Ahmad,2014,1.30%,Jan Adhikar Party (Loktantrik),Barhara,193
2015,11,Abdul Gafar Ansari,1613,1.00%,Bhartiya New Sanskar Krantikari Party,Barhara,193
2015,12,Umesh Kumar Singh,1446,0.90%,Independent,Barhara,193
2015,13,Kamlesh Kumar Prasad,1193,0.80%,Independent,Barhara,193
2015,14,Md. Azazul Haque,1039,0.70%,Samras Samaj Party,Barhara,193
2015,15,Awadhesh Sharma,856,0.60%,Independent,Barhara,193
2015,1,Satyadeo Prasad Singh,70965,42.80%,Rashtriya Janata Dal,Goriyakothi,111
2015,2,Devesh Kant Singh,63314,38.10%,Bharatiya Janta Party,Goriyakothi,111
2015,3,Tribhuwan Ram,5230,3.20%,Independent,Goriyakothi,111
2015,4,Renu Yadav,4016,2.40%,Independent,Goriyakothi,111
2015,5,Ashok Kumar Singh,3060,1.80%,Independent,Goriyakothi,111
2015,6,Tarkeshwar Yadav,2921,1.80%,Communist Party Of India,Goriyakothi,111
2015,7,Lal Babu Sharma,2890,1.70%,Independent,Goriyakothi,111
2015,8,Raj Kapur Prasad Yadav,2010,1.20%,Bahujan Samaj Party,Goriyakothi,111
2015,9,Chandrama Sah,1581,1.00%,Independent,Goriyakothi,111
2015,10,Ramayan Singh,1575,1.00%,Independent,Goriyakothi,111
2015,11,Uma Shankar Tiwari,1530,0.90%,Bhartiya New Sanskar Krantikari Party,Goriyakothi,111
2015,12,Vijay Kumar Singh,1236,0.70%,Independent,Goriyakothi,111
2015,13,Surendra Singh Yadav,1047,0.60%,Samajwadi Party,Goriyakothi,111
2015,14,Akhileshwar Mishra,844,0.50%,Independent,Goriyakothi,111
2015,15,Sandhir Kumar Singh,539,0.30%,Aarakshan Virodhi Party,Goriyakothi,111
2015,16,Nayan Prasad,487,0.30%,Bharat Ka Kisan Majdoor Party,Goriyakothi,111
2015,17,Fazale Ali,469,0.30%,Garib Janta Dal (Secular),Goriyakothi,111
2015,1,Hem Narayan Sah,68459,45.50%,Janata Dal (United),Maharajganj,112
2015,2,Kumar Deo Ranjan Singh,48167,32.00%,Bharatiya Janta Party,Maharajganj,112
2015,3,Satyendra Kumar Gandhi,5743,3.80%,Janta Dal Rashtravadi,Maharajganj,112
2015,4,Manoranjan Kumar Singh,4864,3.20%,Independent,Maharajganj,112
2015,5,Munshi Singh,3909,2.60%,Communist Party Of India (MARXIST),Maharajganj,112
2015,6,Rabindra Ray,3108,2.10%,Independent,Maharajganj,112
2015,7,Bishawanath Yadeo,2054,1.40%,Jan Adhikar Party (Loktantrik),Maharajganj,112
2015,8,Rajendra Singh,2049,1.40%,Communist Party Of India,Maharajganj,112
2015,9,Om Prakash Sharma,1974,1.30%,Independent,Maharajganj,112
2015,10,Atish Singh,1549,1.00%,Bharti Samudaya Party,Maharajganj,112
2015,11,Nagmani Singh,1264,0.80%,Rashtrawadi Yuva Party,Maharajganj,112
2015,12,Tanweer Ahmad Khan,1256,0.80%,Bahujan Samaj Party,Maharajganj,112
2015,13,Dilip Kumar Bharti,1245,0.80%,Independent,Maharajganj,112
2015,14,Om Prakash Singh,1103,0.70%,Bhartiya New Sanskar Krantikari Party,Maharajganj,112
2015,15,Govind Narayan Singh,810,0.50%,Independent,Maharajganj,112
2015,16,Md.Kalam,625,0.40%,Garib Janta Dal (Secular),Maharajganj,112
2015,17,Nayan Prasad,589,0.40%,Bharat Ka Kisan Majdoor Party,Maharajganj,112
2015,1,Manoranjan Singh,49508,35.30%,Janata Dal (United),Ekma,113
2015,2,Kameshwar Kumar Singh,41382,29.50%,Bharatiya Janta Party,Ekma,113
2015,3,Ranjeet Singh (HARPUR),28345,20.20%,Independent,Ekma,113
2015,4,Narendra Pratap Mishra,3662,2.60%,Independent,Ekma,113
2015,5,Sanjay Kumar,2651,1.90%,Jan Adhikar Party (Loktantrik),Ekma,113
2015,6,Santosh Kumar,2200,1.60%,Independent,Ekma,113
2015,7,Kushwaha Rajbal Singh,2065,1.50%,Bahujan Samaj Party,Ekma,113
2015,8,Ranjit Singh (MANJHI),2039,1.50%,Independent,Ekma,113
2015,9,Ramesh Kumar Singh,1629,1.20%,Bhartiya New Sanskar Krantikari Party,Ekma,113
2015,10,Binod Singh,1378,1.00%,Independent,Ekma,113
2015,1,Vijay Shanker Dubey,29558,20.60%,Indian National Congress,Manjhi,114
2015,2,Keshav Singh,20692,14.40%,Lok Jan Shakti Party,Manjhi,114
2015,3,Dr. Satyendra Yadav,17803,12.40%,Communist Party Of India (MARXIST),Manjhi,114
2015,4,Rana Pratap Singh,14322,10.00%,Independent,Manjhi,114
2015,5,Gautam Singh,13449,9.40%,Samajwadi Party,Manjhi,114
2015,6,Om Prakash Prasad,12947,9.00%,Independent,Manjhi,114
2015,7,Rabindra Nath Mishra,9713,6.80%,Independent,Manjhi,114
2015,8,Rai Bahadur Singh,5938,4.10%,Independent,Manjhi,114
2015,9,Hem Narayan Singh,5363,3.70%,Independent,Manjhi,114
2015,10,Rajesh Tyagi,2787,1.90%,Bahujan Samaj Party,Manjhi,114
2015,11,Ram Narayan Yadav,2695,1.90%,Independent,Manjhi,114
2015,12,Santosh Prasad,1591,1.10%,Shiv Sena,Manjhi,114
2015,13,Keshawanand Giri,1401,1.00%,Independent,Manjhi,114
2015,14,Dhruv Dev Gupta,1349,0.90%,Garib Janta Dal (Secular),Manjhi,114
2015,15,Ravikant Chaurasiya,681,0.50%,Bhartiya New Sanskar Krantikari Party,Manjhi,114
2015,1,Kedar Nath Singh,69851,45.90%,Rashtriya Janata Dal,Baniapur,115
2015,2,Tarkeshwar Singh,53900,35.40%,Bharatiya Janta Party,Baniapur,115
2015,3,Virendra Kumar Ojha,13545,8.90%,Independent,Baniapur,115
2015,4,Bikrma Ram,1481,1.00%,Bahujan Samaj Party,Baniapur,115
2015,5,Narayan Pd. Yadaw,1304,0.90%,Garib Janta Dal (Secular),Baniapur,115
2015,6,Bhim Upadhyay,1291,0.90%,Independent,Baniapur,115
2015,7,Mainejer Ray,1120,0.70%,Communist Party Of India,Baniapur,115
2015,8,Sanjeev Kumar Mishra,1082,0.70%,Samras Samaj Party,Baniapur,115
2015,9,Dhananjay Kumar Ray,945,0.60%,Bihar Janta Party,Baniapur,115
2015,10,Dr. Gopal Prasad,564,0.40%,Bhartiya New Sanskar Krantikari Party,Baniapur,115
2015,11,Byas Manjhi,555,0.40%,Bahujan Mukti Party,Baniapur,115
2015,1,Mudrika Prasad Roy,69012,47.90%,Rashtriya Janata Dal,Taraiya,116
2015,2,Janak Singh,48572,33.70%,Bharatiya Janta Party,Taraiya,116
2015,3,Braj Bihari Singh,3980,2.80%,Independent,Taraiya,116
2015,4,Nazare Imam Khan,3747,2.60%,Independent,Taraiya,116
2015,5,Hemant Kumar Singh,3195,2.20%,Independent,Taraiya,116
2015,6,Geeta Sagar Ram,2840,2.00%,Communist Party Of India (MARXIST),Taraiya,116
2015,7,Sabha Ray,2069,1.40%,Communist Party Of India (Marxist-Leninist) (Liberation),Taraiya,116
2015,8,Satyendra Kumar Singh,1929,1.30%,Public Mission Party,Taraiya,116
2015,9,"Abhimanyu Kumar ""manish""",1824,1.30%,Akhil Bharat Hindu Mahasabha,Taraiya,116
2015,10,Ranvijay Kr. Singh,1121,0.80%,Samajwadi Party,Taraiya,116
2015,11,Radha Kant,736,0.50%,Akhil Bharatiya Rajarya Sabha,Taraiya,116
2015,12,Lalan Sah,611,0.40%,Bhartiya New Sanskar Krantikari Party,Taraiya,116
2015,13,Nand Kishor Singh,571,0.40%,Sarvajan Kalyan Loktantrik Party,Taraiya,116
2015,1,Jeetendra Kumar Rai,66714,47.60%,Rashtriya Janata Dal,Marhaura,117
2015,2,Lal Babu Ray,49996,35.70%,Bharatiya Janta Party,Marhaura,117
2015,3,Israr Ahmad Khan,7260,5.20%,Independent,Marhaura,117
2015,4,Jai Ram Ray,4505,3.20%,Bahujan Samaj Party,Marhaura,117
2015,5,Lalu Ray,2584,1.80%,Independent,Marhaura,117
2015,6,Nazre Hassan,1993,1.40%,Independent,Marhaura,117
2015,7,Baleshwar Prasad Yadav,1278,0.90%,Bahujan Mukti Party,Marhaura,117
2015,8,Ajay Kumar Ray,772,0.60%,Independent,Marhaura,117
2015,9,Vijay Sah,490,0.40%,Bhartiya New Sanskar Krantikari Party,Marhaura,117
2015,10,Mujahid Hussain,481,0.30%,Rajnaitik Vikalp Party,Marhaura,117
2015,1,Dr. C.N. Gupta,71646,45.30%,Bharatiya Janta Party,Chapra,118
2015,2,Randhir Kumar Singh,60267,38.10%,Rashtriya Janata Dal,Chapra,118
2015,3,Udit Rai,5707,3.60%,Independent,Chapra,118
2015,4,Kanhaiya Singh,5176,3.30%,Independent,Chapra,118
2015,5,Subhash Rai,3969,2.50%,Bahujan Samaj Party,Chapra,118
2015,6,Santosh Kumar Mishra,2837,1.80%,Independent,Chapra,118
2015,7,Vinod Kumar Tiwary,1092,0.70%,Independent,Chapra,118
2015,8,Rajnarayan Gupta,772,0.50%,Aap Aur Hum Party,Chapra,118
2015,9,Kaushal Kishor Singh,659,0.40%,Independent,Chapra,118
2015,10,Lalan Prasad,621,0.40%,Independent,Chapra,118
2015,11,Ramjee Singh,572,0.40%,Independent,Chapra,118
2015,12,Ram Nath Rai,558,0.40%,Independent,Chapra,118
2015,13,Parmeshwar Kumar,504,0.30%,Independent,Chapra,118
